"","language","target","observations_per_class","top_k_words","classifier","C","kernel","Accuracy","Precision","Recall","F1"
"140","ro","d_fr_wel",269,10000,"SVM",3,"poly",0.652369128905442,0.744755669447547,0.652538493549729,0.695604054569961
"141","ro","d_fr_wel",269,10000,"SVM",5,"rbf",0.879174425822471,0.883127870831737,0.879171868497711,0.881145429456819
"142","ro","d_fr_wel",269,10000,"SVM",5,"linear",0.853124353403683,0.861600619183023,0.853121098626717,0.857339892742222
"143","ro","d_fr_wel",269,10000,"SVM",5,"sigmoid",0.88659217877095,0.887992791022372,0.886558468580941,0.887275050139374
"144","ro","d_fr_wel",269,10000,"SVM",5,"poly",0.663531967721912,0.751915372552737,0.663649604660841,0.705030638318404
"145","de","d_fr_wel",3904,10000,"SVM",1,"rbf",0.679216288897426,0.702954978941698,0.679281918316408,0.690915728747794
"146","de","d_fr_wel",3904,10000,"SVM",1,"linear",0.665001920860546,0.686752693342951,0.665067400593423,0.675736114089196
"147","de","d_fr_wel",3904,10000,"SVM",1,"sigmoid",0.580868228966577,0.580887129157218,0.580865067754805,0.580876098246541
"148","de","d_fr_wel",3904,10000,"SVM",1,"poly",0.65117172493277,0.699013822178865,0.651265834741325,0.674295606934335
"149","de","d_fr_wel",3904,10000,"SVM",3,"rbf",0.668459469842489,0.694113335228192,0.668529230144365,0.681081107291214
"150","de","d_fr_wel",3904,10000,"SVM",3,"linear",0.663465232424126,0.690999131250172,0.663538091341766,0.676990247327717
"151","de","d_fr_wel",3904,10000,"SVM",3,"sigmoid",0.578179024202843,0.578241807589133,0.578173353594246,0.578207578565622
"152","de","d_fr_wel",3904,10000,"SVM",3,"poly",0.665770265078755,0.710526848217537,0.665858768689098,0.687467998013477
"153","de","d_fr_wel",3904,10000,"SVM",5,"rbf",0.663081060315021,0.687438026057881,0.663150229470182,0.675075742530534
"154","de","d_fr_wel",3904,10000,"SVM",5,"linear",0.663081060315021,0.692276117326209,0.663155837822967,0.677403165605265
"155","de","d_fr_wel",3904,10000,"SVM",5,"sigmoid",0.576258163657319,0.576337019284756,0.576251754824069,0.57629438390063
"156","de","d_fr_wel",3904,10000,"SVM",5,"poly",0.666538609296965,0.706080804806173,0.66662268537377,0.685784636752199
"157","de","d_fr_wel",3904,10000,"SVM",1,"rbf",0.714368036880523,0.731591742319781,0.71438135145953,0.722884125359533
"158","de","d_fr_wel",3904,10000,"SVM",1,"linear",0.690741452170572,0.709846572361508,0.690748638350979,0.700167399612042
"159","de","d_fr_wel",3904,10000,"SVM",1,"sigmoid",0.57011140991164,0.571022176819731,0.570093193112707,0.570557306822715
