"","language","target","observations_per_class","top_k_words","classifier","n_estimators","criterion","Accuracy","Precision","Recall","F1"
"49","de","d_fr_lab",3611,10000,"Random Forest",50,"entropy",0.519518272425249,0.524833087144002,0.519518272425249,0.522162155957019
"50","de","d_fr_lab",3611,10000,"Random Forest",100,"entropy",0.511212624584718,0.514771864932043,0.511212624584718,0.512986071082277
"51","de","d_fr_lab",3611,10000,"Random Forest",200,"entropy",0.496262458471761,0.495086583325398,0.496262458471761,0.495673823524445
"52","de","d_fr_lab",3611,10000,"Random Forest",300,"entropy",0.497093023255814,0.496178453697532,0.497093023255814,0.496635317424878
"53","de","d_fr_lab",3611,10000,"Random Forest",50,"gini",0.472591362126246,0.464601864522751,0.472591362126246,0.468562558409172
"54","de","d_fr_lab",3611,10000,"Random Forest",100,"gini",0.490448504983389,0.487726559155131,0.490448504983389,0.489083744920434
"55","de","d_fr_lab",3611,10000,"Random Forest",200,"gini",0.49875415282392,0.498408663356522,0.49875415282392,0.498581348238926
"56","de","d_fr_lab",3611,10000,"Random Forest",300,"gini",0.506229235880399,0.5076508890028,0.506229235880399,0.506939065727318
"57","de","d_fr_lab",3611,10000,"Random Forest",50,"entropy",0.60313797865307,0.605313592521009,0.603155731932627,0.604232735673026
"58","de","d_fr_lab",3611,10000,"Random Forest",100,"entropy",0.612068965517241,0.614138244992372,0.612082922538615,0.613108861257963
"59","de","d_fr_lab",3611,10000,"Random Forest",200,"entropy",0.617260599276473,0.61993304855659,0.61727239901354,0.618599862879463
"60","de","d_fr_lab",3611,10000,"Random Forest",300,"entropy",0.60791571026919,0.608668290029015,0.607928717795765,0.608298279118525
"61","de","d_fr_lab",3611,10000,"Random Forest",50,"gini",0.604175408243123,0.604985689199981,0.604184789963077,0.604584974342012
"62","de","d_fr_lab",3611,10000,"Random Forest",100,"gini",0.598986621247276,0.596830562832736,0.598996694310735,0.597911666697413
"63","de","d_fr_lab",3611,10000,"Random Forest",200,"gini",0.614562040118315,0.614918291037101,0.614569266203263,0.614743729079894
"64","de","d_fr_lab",3611,10000,"Random Forest",300,"gini",0.619547585461562,0.61979035741092,0.619554208332988,0.619672260373616
"65","de","d_fr_lab",3611,10000,"Random Forest",50,"entropy",0.628375743781634,0.632814430423091,0.628369782446799,0.630584274551453
"66","de","d_fr_lab",3611,10000,"Random Forest",100,"entropy",0.630590180633175,0.635274411194773,0.630586002693525,0.632921524638409
"67","de","d_fr_lab",3611,10000,"Random Forest",200,"entropy",0.63156170333758,0.634204511590929,0.631557986723851,0.63287848240854
"68","de","d_fr_lab",3611,10000,"Random Forest",300,"entropy",0.632946150508783,0.635778813468966,0.632942031226842,0.634357250912075
"69","de","d_fr_lab",3611,10000,"Random Forest",50,"gini",0.628930028741383,0.63076655465334,0.628923492302835,0.629843675178624
"70","de","d_fr_lab",3611,10000,"Random Forest",100,"gini",0.629759730869865,0.631987629364369,0.629754632429631,0.630869154948559
"71","de","d_fr_lab",3611,10000,"Random Forest",200,"gini",0.628377239051291,0.628791597224438,0.628372659160515,0.628582058388908
"72","de","d_fr_lab",3611,10000,"Random Forest",300,"gini",0.636823672281059,0.637860690316929,0.636820992001355,0.637340417142463
"73","ro","d_fr_wel",269,10000,"Random Forest",50,"entropy",0.761111111111111,0.768571428571429,0.761111111111111,0.764823077721283
"74","ro","d_fr_wel",269,10000,"Random Forest",100,"entropy",0.794444444444444,0.795356037151703,0.794444444444445,0.794899979444126
"75","ro","d_fr_wel",269,10000,"Random Forest",200,"entropy",0.8,0.801339285714286,0.8,0.800669082798997
"76","ro","d_fr_wel",269,10000,"Random Forest",300,"entropy",0.772222222222222,0.774971941638608,0.772222222222222,0.773594638488911
"77","ro","d_fr_wel",269,10000,"Random Forest",50,"gini",0.75,0.75532719707477,0.75,0.752654172337975
"78","ro","d_fr_wel",269,10000,"Random Forest",100,"gini",0.766666666666667,0.768790443006471,0.766666666666667,0.767727086079834
"79","ro","d_fr_wel",269,10000,"Random Forest",200,"gini",0.794444444444444,0.794771968854282,0.794444444444445,0.794608172899322
"80","ro","d_fr_wel",269,10000,"Random Forest",300,"gini",0.772222222222222,0.772525027808676,0.772222222222222,0.772373595337059
"81","ro","d_fr_wel",269,10000,"Random Forest",50,"entropy",0.746384233395406,0.761219524781964,0.746847690387016,0.753965126013576
"82","ro","d_fr_wel",269,10000,"Random Forest",100,"entropy",0.740828677839851,0.760862211733532,0.741385767790262,0.750997735017725
"83","ro","d_fr_wel",269,10000,"Random Forest",200,"entropy",0.749208566108007,0.772208423174083,0.74978152309613,0.760829740162202
"84","ro","d_fr_wel",269,10000,"Random Forest",300,"entropy",0.74643078833023,0.769674567173088,0.747003745318352,0.758169718152178
"85","ro","d_fr_wel",269,10000,"Random Forest",50,"gini",0.735226567349472,0.754306551944327,0.735799001248439,0.744937841975803
"86","ro","d_fr_wel",269,10000,"Random Forest",100,"gini",0.754795158286778,0.764811066126856,0.75518102372035,0.75996553893697
"87","ro","d_fr_wel",269,10000,"Random Forest",200,"gini",0.765859714463066,0.781310403682456,0.766354556803995,0.773760217395141
"88","ro","d_fr_wel",269,10000,"Random Forest",300,"gini",0.740859714463066,0.754160129911948,0.741323345817728,0.747686644301935
"89","ro","d_fr_wel",269,10000,"Random Forest",50,"entropy",0.728533002276019,0.760285265133079,0.728651685393258,0.744132435726101
"90","ro","d_fr_wel",269,10000,"Random Forest",100,"entropy",0.739706186633561,0.761170675996155,0.73986683312526,0.750367574554109
"91","ro","d_fr_wel",269,10000,"Random Forest",200,"entropy",0.728553693358163,0.749211822660099,0.728651685393258,0.738788737015254
"92","ro","d_fr_wel",269,10000,"Random Forest",300,"entropy",0.724839644113387,0.749754244583749,0.724927174365377,0.737131720804974
"93","ro","d_fr_wel",269,10000,"Random Forest",50,"gini",0.739675150010346,0.767610114139172,0.739783603828548,0.753440020088077
"94","ro","d_fr_wel",269,10000,"Random Forest",100,"gini",0.741578729567556,0.753118039567386,0.741718684977112,0.747374897563716
"95","ro","d_fr_wel",269,10000,"Random Forest",200,"gini",0.74528243327126,0.76414708254175,0.745443196004994,0.75467926830608
"96","ro","d_fr_wel",269,10000,"Random Forest",300,"gini",0.728543347817091,0.743884017113589,0.728672492717437,0.736199687311177
"97","de","d_fr_wel",3904,10000,"Random Forest",50,"entropy",0.441797925470611,0.400709513332391,0.441921669612528,0.420307771052544
"98","de","d_fr_wel",3904,10000,"Random Forest",100,"entropy",0.441029581252401,0.401702195637125,0.441151259045683,0.420503536841818
"99","de","d_fr_wel",3904,10000,"Random Forest",200,"entropy",0.442950441797925,0.403492864148602,0.443073448168784,0.422357875641039
"100","de","d_fr_wel",3904,10000,"Random Forest",300,"entropy",0.439108720706877,0.396635209199853,0.439232021687205,0.416848222711865
"101","de","d_fr_wel",3904,10000,"Random Forest",50,"gini",0.436419515943143,0.395354497045452,0.436540012350183,0.414927746423777
"102","de","d_fr_wel",3904,10000,"Random Forest",100,"gini",0.44333461390703,0.405552400054432,0.443456292040508,0.423658238674796
"103","de","d_fr_wel",3904,10000,"Random Forest",200,"gini",0.430656934306569,0.39014502121919,0.430773740157341,0.409453987170527
"104","de","d_fr_wel",3904,10000,"Random Forest",300,"gini",0.431041106415674,0.390916098229019,0.431157764734914,0.410051988524814
"105","de","d_fr_wel",3904,10000,"Random Forest",50,"entropy",0.571840184402612,0.556351690522029,0.571881814886575,0.564009866691069
"106","de","d_fr_wel",3904,10000,"Random Forest",100,"entropy",0.57011140991164,0.553942415295418,0.570155475346271,0.561932023423561
"107","de","d_fr_wel",3904,10000,"Random Forest",200,"entropy",0.570303495966193,0.552977813098912,0.570346306929208,0.561527786845455
"108","de","d_fr_wel",3904,10000,"Random Forest",300,"entropy",0.571840184402612,0.555283955993344,0.571883733533581,0.563461612456351
"109","de","d_fr_wel",3904,10000,"Random Forest",50,"gini",0.570495582020745,0.554484190653816,0.570540680629694,0.562397855565827
"110","de","d_fr_wel",3904,10000,"Random Forest",100,"gini",0.567422205147906,0.548953691813011,0.567467008126798,0.558056849196875
"111","de","d_fr_wel",3904,10000,"Random Forest",200,"gini",0.567422205147906,0.548386011756984,0.567467746067954,0.557763724654234
"112","de","d_fr_wel",3904,10000,"Random Forest",300,"gini",0.574721475220899,0.557156585761312,0.574766869630002,0.565824738707374
"113","de","d_fr_wel",3904,10000,"Random Forest",50,"entropy",0.592477254560235,0.585653203130059,0.592504269235568,0.589058816474335
"114","de","d_fr_wel",3904,10000,"Random Forest",100,"entropy",0.598752459395429,0.589663238490291,0.598782475806353,0.594187870068884
"115","de","d_fr_wel",3904,10000,"Random Forest",200,"entropy",0.60105793498485,0.593709179863514,0.60108613131102,0.597374882057713
"116","de","d_fr_wel",3904,10000,"Random Forest",300,"entropy",0.600162074761684,0.592872272745932,0.600189778786888,0.596508585234256
"117","de","d_fr_wel",3904,10000,"Random Forest",50,"gini",0.594910049294705,0.584479644250691,0.594939967011079,0.589663419106866
