"","language","target","observations_per_class","top_k_words","classifier","hidden_layers","hidden_units","dropout_rate","learning_rate","epochs","Accuracy","Precision","Recall","F1"
"65","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,0.001,100,0.872960388660431,0.882718423439369,0.872960372960373,0.877812280611692
"66","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,1e-04,100,0.812354306379954,0.819684492097262,0.812354312354312,0.816002940749835
"67","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,0.01,100,0.876456876595815,0.885694711973335,0.876456876456876,0.881051580178813
"68","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,0.001,100,0.871406356493632,0.877896039194957,0.871406371406371,0.874639167419806
"69","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,1e-04,100,0.830225348472595,0.835645412314638,0.83022533022533,0.83292655387224
"70","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,0.01,100,0.872960388660431,0.887032003651555,0.872960372960373,0.879939934996876
"71","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,0.001,100,0.871794859568278,0.878747909476475,0.871794871794872,0.87525758213767
"72","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,1e-04,100,0.850815852483114,0.856799167320388,0.850815850815851,0.853797026589337
"73","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,0.01,100,0.768235266208649,0.784973178994918,0.768235294117647,0.776514050082601
"74","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,0.001,100,0.788235306739807,0.795807978363759,0.788235294117647,0.792003535236871
"75","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,1e-04,100,0.76235294342041,0.773018223300244,0.762352941176471,0.767648539650412
"76","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,0.01,100,0.76588237285614,0.788500816993464,0.765882352941176,0.777027019715334
"77","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,0.001,100,0.79058825969696,0.799673420915906,0.790588235294118,0.795104876212925
"78","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,1e-04,100,0.777647078037262,0.783885064758627,0.777647058823529,0.780753602003201
"79","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,0.01,100,0.759999990463257,0.769062856291645,0.76,0.764504570072649
"80","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,0.001,100,0.791764676570892,0.799200617704501,0.791764705882353,0.795465284675332
"81","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,1e-04,100,0.775294125080109,0.77625,0.775294117647059,0.775771764371357
"82","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,0.01,100,0.738823533058167,0.770778800946588,0.738823529411765,0.754462950485701
"83","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,0.001,100,0.779999971389771,0.789,0.78,0.784474187380497
"84","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,1e-04,100,0.785882353782654,0.785983684184292,0.785882352941176,0.785933015296546
